Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	rtr-az-1	1	internal://	InInterests	0	0	0	0
0.5	rtr-az-1	1	internal://	OutInterests	0	0	0	0
0.5	rtr-az-1	1	internal://	InData	0	0	0	0
0.5	rtr-az-1	1	internal://	OutData	0	0	0	0
0.5	rtr-az-1	1	internal://	InNacks	0	0	0	0
0.5	rtr-az-1	1	internal://	OutNacks	0	0	0	0
0.5	rtr-az-1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	rtr-az-1	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	rtr-az-1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	OutInterests	57.6	3.1875	36	1.99219
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	InData	27.2	36.5875	17	22.8672
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	27.2	0	17	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	InInterests	40	2.21094	25	1.38184
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	OutInterests	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	InData	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	OutData	27.2	36.5875	17	22.8672
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	27.2	0	17	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	InInterests	36.8	2.03281	23	1.27051
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	OutInterests	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	InData	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	OutData	27.2	36.5875	17	22.8672
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	InNacks	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	OutNacks	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	InSatisfiedInterests	27.2	0	17	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	InTimedOutInterests	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	OutSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	OutTimedOutInterests	0	0	0	0
0.5	rtr-az-1	260	internal://	InInterests	0	0	0	0
0.5	rtr-az-1	260	internal://	OutInterests	0	0	0	0
0.5	rtr-az-1	260	internal://	InData	0	0	0	0
0.5	rtr-az-1	260	internal://	OutData	0	0	0	0
0.5	rtr-az-1	260	internal://	InNacks	0	0	0	0
0.5	rtr-az-1	260	internal://	OutNacks	0	0	0	0
0.5	rtr-az-1	260	internal://	InSatisfiedInterests	3.2	0	2	0
